query1.png,Crosswalk,Car,Car,Bus,Motorcycle,Motorcycle,Hydrant,Bicycle,Bus,Car
query2.png,Car,Crosswalk,Crosswalk,Car,Hydrant,Car,Car,Hydrant,Car,Car
query3.png,Hydrant,Bus,Hydrant,Hydrant,Car,Car,Hydrant,Bus,Bus,Car
query4.png,Hydrant,Hydrant,Bus,Hydrant,Motorcycle,Bus,Bicycle,Hydrant,Bicycle,Bicycle
query5.png,Car,Motorcycle,Car,Car,Bus,Hydrant,Crosswalk,Bicycle,Hydrant,Bicycle
query6.png,Car,Car,Bus,Car,Bus,Car,Bridge,Motorcycle,Car,Hydrant
query7.png,Car,Car,Car,Bicycle,Car,Hydrant,Crosswalk,Car,Bridge,Bus
query8.png,Bus,Bus,Car,Car,Hydrant,Car,Car,Bridge,Crosswalk,Car
query9.png,Car,Car,Car,Car,Car,Car,Hydrant,Car,Hydrant,Car
query10.png,Car,Car,Crosswalk,Car,Bridge,Crosswalk,Crosswalk,Car,Hydrant,Bus
query11.png,Car,Car,Car,Bicycle,Hydrant,Car,Bicycle,Car,Car,Bus
query12.png,Bus,Car,Crosswalk,Bus,Hydrant,Car,Bus,Bicycle,Bicycle,Bus
query13.png,Car,Car,Car,Crosswalk,Car,Car,Bus,Car,Hydrant,Car
query14.png,Motorcycle,Car,Car,Crosswalk,Hydrant,Car,Car,Bus,Car,Bus
query15.png,Motorcycle,Hydrant,Car,Car,Car,Car,Bus,Car,Hydrant,Car
query16.png,Car,Car,Hydrant,Car,Car,Car,Car,Car,Car,Chimney
query17.png,Car,Crosswalk,Car,Car,Crosswalk,Bridge,Bus,Bridge,Hydrant,Hydrant
query18.png,Bus,Car,Crosswalk,Car,Car,Car,Hydrant,Car,Car,Bridge
query19.png,Hydrant,Car,Car,Hydrant,Car,Car,Hydrant,Car,Bridge,Car
query20.png,Crosswalk,Bus,Crosswalk,Crosswalk,Car,Car,Crosswalk,Car,Bicycle,Hydrant
query21.png,Hydrant,Hydrant,Bicycle,Hydrant,Car,Hydrant,Chimney,Hydrant,Hydrant,Car
query22.png,Car,Car,Bridge,Bus,Crosswalk,Car,Car,Hydrant,Bus,Bus
query23.png,Car,Car,Car,Crosswalk,Crosswalk,Crosswalk,Hydrant,Car,Car,Car
query24.png,Car,Car,Car,Car,Car,Crosswalk,Car,Motorcycle,Bus,Car
query25.png,Hydrant,Bicycle,Car,Bus,Bridge,Car,Car,Hydrant,Car,Car
query26.png,Crosswalk,Car,Bus,Car,Bus,Bus,Car,Car,Bridge,Car
query27.png,Crosswalk,Car,Crosswalk,Car,Bus,Crosswalk,Hydrant,Hydrant,Car,Bus
query28.png,Car,Crosswalk,Bicycle,Car,Car,Bridge,Hydrant,Car,Car,Car
query29.png,Hydrant,Bridge,Bus,Bus,Hydrant,Car,Car,Car,Bus,Car
query30.png,Car,Bus,Car,Hydrant,Car,Car,Car,Car,Motorcycle,Car
query31.png,Car,Crosswalk,Hydrant,Car,Car,Bus,Crosswalk,Car,Hydrant,Bridge
query32.png,Hydrant,Car,Car,Car,Car,Car,Car,Car,Car,Bus
query33.png,Bus,Car,Hydrant,Bus,Bicycle,Car,Bus,Bus,Bridge,Bus
query34.png,Bus,Hydrant,Car,Bus,Motorcycle,Crosswalk,Car,Car,Car,Car
query35.png,Crosswalk,Car,Car,Car,Car,Car,Bus,Car,Hydrant,Bus
query36.png,Car,Hydrant,Car,Car,Hydrant,Car,Bus,Hydrant,Car,Car
query37.png,Car,Hydrant,Bus,Hydrant,Car,Hydrant,Car,Crosswalk,Car,Car
query38.png,Crosswalk,Car,Car,Motorcycle,Bicycle,Crosswalk,Crosswalk,Car,Bus,Bus
query39.png,Hydrant,Car,Hydrant,Car,Car,Bicycle,Car,Motorcycle,Car,Car
query40.png,Crosswalk,Crosswalk,Car,Bus,Bus,Bus,Car,Bridge,Crosswalk,Hydrant
query41.png,Car,Bus,Bus,Crosswalk,Bus,Bus,Car,Bus,Bicycle,Bus
query42.png,Car,Bus,Bus,Hydrant,Car,Crosswalk,Car,Bus,Bus,Crosswalk
query43.png,Bus,Hydrant,Car,Car,Hydrant,Motorcycle,Crosswalk,Bicycle,Hydrant,Car
query44.png,Car,Car,Bus,Car,Car,Hydrant,Car,Car,Car,Bridge
query45.png,Motorcycle,Bicycle,Bus,Motorcycle,Bus,Car,Crosswalk,Car,Bicycle,Car
query46.png,Car,Car,Car,Car,Car,Crosswalk,Crosswalk,Car,Hydrant,Car
query47.png,Crosswalk,Car,Car,Bus,Car,Car,Car,Car,Car,Bus
